,City,Country Code,Latitude,Longitude,Temperature,Humidity,Clouds,Wind,Date
0,makasar,ID,-5.14,119.42,75.2,100,40,2.24,1605978888
1,rikitea,PF,-23.12,-134.97,72.97,63,3,3.76,1605978568
2,garowe,SO,8.41,48.48,82.08,27,93,12.86,1605979119
3,east london,ZA,-33.02,27.91,78.8,69,0,4.7,1605978546
4,hermanus,ZA,-34.42,19.23,64.0,83,83,4.0,1605978561
5,mahe,IN,11.7,75.53,77.0,88,20,3.36,1605979120
6,ribeira grande,PT,38.52,-28.7,66.2,72,20,6.93,1605978576
7,hermanus,ZA,-34.42,19.23,64.0,84,83,5.99,1605979120
8,rupert,US,42.62,-113.68,28.4,86,75,3.36,1605979120
9,sibolga,ID,1.74,98.78,75.65,80,100,2.51,1605979033
10,ushuaia,AR,-54.8,-68.3,66.2,29,75,9.17,1605979120
11,kodiak,US,57.79,-152.41,39.2,60,75,16.11,1605979121
12,arraial do cabo,BR,-22.97,-42.03,77.77,61,40,8.05,1605979051
13,bluff,NZ,-46.6,168.33,48.0,79,97,5.99,1605979121
14,coihaique,CL,-45.58,-72.07,50.88,82,100,5.86,1605979121
15,butaritari,KI,3.07,172.79,81.45,77,92,15.84,1605979121
16,ushuaia,AR,-54.8,-68.3,66.2,29,75,9.17,1605978954
17,yumen,CN,40.28,97.2,6.35,67,0,7.9,1605979121
18,jamestown,US,42.1,-79.24,39.06,74,90,9.17,1605979122
19,port lincoln,AU,-34.73,135.87,66.29,68,49,9.69,1605979122
20,hambantota,LK,6.12,81.12,78.03,80,100,10.56,1605979122
21,bredasdorp,ZA,-34.53,20.04,66.2,63,35,11.41,1605979122
22,victoria,HK,22.29,114.16,71.67,86,45,13.06,1605978441
23,nikolskoye,RU,59.7,30.79,33.24,86,75,11.18,1605978600
24,meulaboh,ID,4.14,96.13,74.03,94,100,4.9,1605979123
25,avera,US,33.19,-82.53,69.82,49,1,5.82,1605978599
26,thompson,CA,55.74,-97.86,10.4,85,90,5.82,1605978592
27,bengkulu,ID,-3.8,102.27,77.11,90,100,7.47,1605978646
28,anadyr,RU,64.75,177.48,32.0,97,40,24.61,1605978686
29,broome,US,42.25,-75.83,44.55,66,75,10.29,1605978591
30,ushuaia,AR,-54.8,-68.3,66.2,29,75,9.17,1605978563
31,dikson,RU,73.51,80.55,17.69,96,93,18.12,1605978569
32,seydisehir,TR,37.42,31.85,42.49,75,19,4.79,1605979124
33,kapaa,US,22.08,-159.32,76.24,88,90,20.8,1605978574
34,kviteseid,NO,59.4,8.49,30.2,100,90,3.36,1605979124
35,qaqortoq,GL,60.72,-46.03,15.8,61,20,6.93,1605978598
36,zhigansk,RU,66.77,123.37,-4.79,91,100,19.69,1605978574
37,avarua,CK,-21.21,-159.78,71.6,100,100,3.36,1605978589
38,qaanaaq,GL,77.48,-69.36,6.76,91,93,1.1,1605978589
39,louth,GB,53.37,0.0,53.4,81,88,18.34,1605979125
40,calabozo,VE,8.92,-67.43,85.14,68,89,6.22,1605979125
41,jamestown,US,42.1,-79.24,39.36,74,90,10.29,1605978823
42,ushuaia,AR,-54.8,-68.3,66.2,29,75,9.17,1605978563
43,rikitea,PF,-23.12,-134.97,72.97,63,3,3.76,1605978568
44,hilo,US,19.73,-155.09,70.54,88,90,8.25,1605978563
45,belaya gora,RU,68.53,146.42,-6.38,91,100,2.71,1605978629
46,muriti,TZ,-1.98,32.92,75.2,73,20,8.97,1605979126
47,bontang,ID,0.13,117.5,80.85,80,76,1.79,1605979126
48,gamba,GA,-2.65,10.0,77.65,86,100,9.08,1605978657
49,concepcion del uruguay,AR,-32.48,-58.24,86.0,32,0,1.99,1605979126
50,arcachon,FR,44.59,-1.05,46.67,76,0,4.7,1605979126
51,faanui,PF,-16.48,-151.75,79.72,72,48,8.61,1605978621
52,chuy,UY,-33.7,-53.46,69.22,50,63,9.37,1605978610
53,chuy,UY,-33.7,-53.46,69.22,50,63,9.37,1605978610
54,vestmannaeyjar,IS,63.44,-20.27,37.4,78,40,12.75,1605978587
55,huesca,ES,42.14,-0.41,46.18,61,0,3.6,1605978877
56,pevek,RU,69.7,170.31,10.53,96,100,4.85,1605978613
57,punta arenas,CL,-53.15,-70.92,60.8,48,0,16.11,1605978563
58,albany,US,42.6,-73.97,49.33,46,100,4.0,1605978567
59,thompson,CA,55.74,-97.86,10.4,85,90,5.82,1605978592
60,megion,RU,61.03,76.11,26.6,92,0,8.95,1605979128
61,paita,PE,-5.09,-81.11,77.0,57,0,19.46,1605979129
62,alyangula,AU,-13.85,136.42,77.0,88,7,7.4,1605979129
63,provideniya,RU,64.38,-173.3,29.48,96,100,29.86,1605978565
64,rikitea,PF,-23.12,-134.97,72.97,63,3,3.76,1605978568
65,ponta do sol,PT,32.67,-17.1,68.86,77,20,5.82,1605978619
66,guangyuan,CN,32.44,105.82,29.48,88,98,21.99,1605979130
67,mataura,NZ,-46.19,168.86,48.0,79,99,8.99,1605978570
68,victoria,HK,22.29,114.16,71.67,86,45,13.06,1605978441
69,thompson,CA,55.74,-97.86,10.4,85,90,5.82,1605978592
70,vaini,TO,-21.2,-175.2,73.4,88,75,4.7,1605978596
71,punta arenas,CL,-53.15,-70.92,60.8,48,0,16.11,1605978563
72,ushuaia,AR,-54.8,-68.3,66.2,29,75,9.17,1605978563
73,thompson,CA,55.74,-97.86,10.4,85,90,5.82,1605978592
74,los cedrales,PY,-25.65,-54.7,88.68,23,40,5.82,1605979132
75,port elizabeth,ZA,-33.92,25.57,73.4,49,0,17.22,1605978564
76,yellowknife,CA,62.46,-114.35,-11.29,75,20,10.29,1605978468
77,olafsvik,IS,64.89,-23.71,36.68,81,100,15.35,1605978682
78,bataipora,BR,-22.3,-53.27,88.39,33,0,2.53,1605979134
79,north bend,US,43.41,-124.22,37.54,100,1,8.19,1605979134
80,albany,US,42.6,-73.97,49.33,46,100,4.0,1605978567
81,barrow,US,71.29,-156.79,10.4,85,1,9.17,1605978607
82,wilmington,US,34.23,-77.94,71.31,49,1,2.8,1605978791
83,biak,ID,-0.91,122.88,77.83,78,85,2.62,1605978688
84,honningsvag,NO,70.98,25.97,33.35,88,100,29.24,1605979134
85,hermanus,ZA,-34.42,19.23,64.0,83,83,4.0,1605978561
86,cape town,ZA,-33.93,18.42,67.08,64,20,10.29,1605978424
87,port alfred,ZA,-33.59,26.89,78.08,54,69,7.54,1605978561
88,atuona,PF,-9.8,-139.03,77.0,74,15,14.81,1605978562
89,ushuaia,AR,-54.8,-68.3,66.2,29,75,9.17,1605978563
90,port alfred,ZA,-33.59,26.89,78.08,54,69,7.54,1605978561
91,farsund,NO,58.09,6.8,47.52,86,44,25.88,1605979135
92,punta arenas,CL,-53.15,-70.92,60.8,48,0,16.11,1605978563
93,atuona,PF,-9.8,-139.03,77.0,74,15,14.81,1605978562
94,la ronge,CA,55.1,-105.28,5.0,84,25,2.24,1605978599
95,omsukchan,RU,62.53,155.8,-5.89,88,100,4.56,1605979136
96,upernavik,GL,72.79,-56.15,21.02,91,100,4.07,1605978626
97,barrow,US,71.29,-156.79,10.4,85,1,9.17,1605978607
98,hobart,AU,-42.88,147.33,57.24,72,90,6.93,1605978566
99,progreso,MX,21.28,-89.67,82.72,69,75,11.41,1605979136
100,dikson,RU,73.51,80.55,17.69,96,93,18.12,1605978569
101,saldanha,ZA,-33.01,17.94,68.0,64,77,16.11,1605978616
102,esperance,AU,-33.87,121.9,51.8,100,40,3.36,1605978578
103,dubti,ET,11.74,41.09,80.29,30,12,8.81,1605979137
104,avarua,CK,-21.21,-159.78,71.6,100,100,3.36,1605978589
105,punta arenas,CL,-53.15,-70.92,60.8,48,0,16.11,1605978563
106,ushuaia,AR,-54.8,-68.3,66.2,29,75,9.17,1605978563
107,nikolskoye,RU,59.7,30.79,33.24,86,75,11.18,1605978600
108,walvis bay,NA,-22.96,14.51,67.1,60,0,12.75,1605979138
109,arraial do cabo,BR,-22.97,-42.03,77.77,61,40,8.05,1605979051
110,qaanaaq,GL,77.48,-69.36,6.76,91,93,1.1,1605978589
111,alyangula,AU,-13.85,136.42,77.0,88,7,7.4,1605979129
112,pleasanton,US,37.66,-121.87,50.83,61,1,4.21,1605979138
113,port alfred,ZA,-33.59,26.89,78.08,54,69,7.54,1605978561
114,ushuaia,AR,-54.8,-68.3,66.2,29,75,9.17,1605978563
115,aykhal,RU,66.0,111.5,6.8,84,90,6.71,1605978665
116,sainte-maxime,FR,43.3,6.63,49.14,70,75,2.24,1605979139
117,cape town,ZA,-33.93,18.42,67.08,64,20,10.29,1605978424
118,arraial do cabo,BR,-22.97,-42.03,77.77,61,40,8.05,1605979051
119,port hardy,CA,50.7,-127.42,43.5,87,75,10.29,1605978637
120,saldanha,ZA,-33.01,17.94,68.0,64,77,16.11,1605978616
121,nome,US,64.5,-165.41,28.85,58,1,16.11,1605978632
122,eureka,US,40.8,-124.16,34.68,48,1,4.7,1605978645
123,erdenet,MN,49.03,104.08,7.09,84,0,4.0,1605979140
124,mataura,NZ,-46.19,168.86,48.0,79,99,8.99,1605978570
125,hilo,US,19.73,-155.09,70.54,88,90,8.25,1605978563
126,kedrovyy,RU,56.17,91.82,26.6,73,75,11.18,1605979143
127,upernavik,GL,72.79,-56.15,21.02,91,100,4.07,1605978626
128,bangui,CF,4.36,18.55,89.6,62,20,2.24,1605979145
129,areosa,PT,41.72,-8.86,60.96,63,0,3.36,1605979145
130,ushuaia,AR,-54.8,-68.3,66.2,29,75,9.17,1605978563
131,albany,US,42.6,-73.97,49.33,46,100,4.0,1605978567
132,kaitangata,NZ,-46.28,169.85,46.99,87,99,11.01,1605978564
133,hilo,US,19.73,-155.09,70.54,88,90,8.25,1605978563
134,amarante do maranhao,BR,-5.57,-46.74,89.8,55,46,1.72,1605979145
135,rikitea,PF,-23.12,-134.97,72.97,63,3,3.76,1605978568
136,behat,IN,30.17,77.62,54.21,41,0,2.48,1605979146
137,padang,ID,-0.95,100.35,76.87,82,100,7.38,1605978686
138,ilulissat,GL,69.22,-51.1,24.8,68,40,21.92,1605978620
139,provideniya,RU,64.38,-173.3,29.48,96,100,29.86,1605978565
140,roald,NO,62.58,6.13,44.78,70,75,38.03,1605979148
141,butaritari,KI,3.07,172.79,81.45,77,92,15.84,1605978572
142,airai,TL,-8.93,125.41,61.2,99,18,1.74,1605978660
143,khasan,RU,42.43,130.64,36.03,76,100,14.74,1605979149
144,shahrud,IR,36.42,54.98,43.93,82,100,2.91,1605979149
145,hermanus,ZA,-34.42,19.23,64.0,83,83,4.0,1605978561
146,carnarvon,AU,-24.87,113.63,69.8,88,1,23.04,1605978592
147,severo-kurilsk,RU,50.68,156.12,30.76,92,90,14.07,1605978590
148,castro,BR,-24.79,-50.01,74.05,47,37,6.42,1605978544
149,osoyoos,CA,49.03,-119.45,39.2,72,71,3.36,1605979150
150,algiers,DZ,36.75,3.04,59.13,63,43,14.07,1605979150
151,ushuaia,AR,-54.8,-68.3,66.2,29,75,9.17,1605978563
152,punta arenas,CL,-53.15,-70.92,60.8,48,0,16.11,1605978563
153,westport,US,41.14,-73.36,59.34,47,1,8.05,1605978926
154,rikitea,PF,-23.12,-134.97,72.97,63,3,3.76,1605978568
155,xingyi,CN,24.19,102.82,50.23,85,0,3.22,1605979151
156,punta arenas,CL,-53.15,-70.92,60.8,48,0,16.11,1605978563
157,thompson,CA,55.74,-97.86,10.4,85,90,5.82,1605978592
158,kaitangata,NZ,-46.28,169.85,46.99,87,99,11.01,1605978564
159,taoudenni,ML,22.68,-3.98,80.28,19,100,7.56,1605978587
160,sychevka,RU,55.83,34.27,29.32,98,22,4.9,1605979153
161,jamestown,US,42.1,-79.24,39.36,74,90,10.29,1605978823
162,yulara,AU,-25.24,130.99,86.0,30,100,4.7,1605978645
163,ukiah,US,39.15,-123.21,44.19,86,1,1.66,1605979153
164,saint-georges,GD,12.06,-61.75,84.2,79,75,17.22,1605979154
165,cape town,ZA,-33.93,18.42,67.08,64,20,10.29,1605978424
166,terrace bay,CA,48.78,-87.1,22.64,67,90,2.24,1605979155
167,cabedelo,BR,-6.98,-34.83,87.8,58,75,11.41,1605978663
168,khatanga,RU,71.97,102.5,20.26,97,100,12.48,1605978572
169,cullinan,ZA,-25.67,28.52,64.4,88,98,2.24,1605979155
170,luanda,AO,-8.84,13.23,82.4,69,40,12.8,1605979156
171,new norfolk,AU,-42.78,147.06,56.89,66,100,1.63,1605978594
172,port alfred,ZA,-33.59,26.89,78.08,54,69,7.54,1605978561
173,cape town,ZA,-33.93,18.42,67.08,64,20,10.29,1605978424
174,yellowknife,CA,62.46,-114.35,-11.29,75,20,10.29,1605978468
175,bambous virieux,MU,-20.34,57.76,74.17,83,40,3.36,1605978615
176,avarua,CK,-21.21,-159.78,71.6,100,100,3.36,1605978589
177,yellowknife,CA,62.46,-114.35,-11.29,75,20,10.29,1605978468
178,hobart,AU,-42.88,147.33,57.24,72,90,6.93,1605978566
179,kiruna,SE,67.86,20.23,26.6,92,100,8.05,1605979159
180,tura,IN,25.52,90.22,65.07,69,28,3.24,1605979089
181,hermanus,ZA,-34.42,19.23,64.0,83,83,4.0,1605978561
182,sur,OM,22.57,59.53,72.77,50,0,5.37,1605979160
183,xian,CN,34.26,108.93,38.32,93,90,8.95,1605979160
184,kattivakkam,IN,13.22,80.32,78.8,83,20,7.11,1605979160
185,tiksi,RU,71.69,128.87,-4.36,90,0,8.88,1605978620
186,barrow,US,71.29,-156.79,10.4,85,1,9.17,1605978607
187,muriwai beach,NZ,-36.82,174.45,60.03,82,88,1.01,1605979161
188,upernavik,GL,72.79,-56.15,21.02,91,100,4.07,1605978626
189,dubbo,AU,-32.25,148.62,69.8,77,100,4.7,1605979161
190,bitung,ID,1.45,125.18,75.2,94,20,1.12,1605978583
191,olafsvik,IS,64.89,-23.71,36.68,81,100,15.35,1605978682
192,lavrentiya,RU,65.58,-171.0,25.54,93,100,15.08,1605978633
193,victoria,HK,22.29,114.16,71.67,86,45,13.06,1605978441
194,hilo,US,19.73,-155.09,70.54,88,90,8.25,1605978563
195,alice springs,AU,-23.7,133.88,78.8,34,4,5.82,1605978487
196,kalmunai,LK,7.42,81.82,78.67,83,100,11.32,1605978676
197,domoni,KM,-12.26,44.53,79.34,75,7,4.0,1605978600
198,san miguel,SV,13.48,-88.18,82.85,78,0,2.24,1605979163
199,mataura,NZ,-46.19,168.86,48.0,79,99,8.99,1605978570
200,kuching,MY,1.55,110.33,77.0,94,20,2.84,1605979165
201,kaitangata,NZ,-46.28,169.85,46.99,87,99,13.0,1605979165
202,dikson,RU,73.51,80.55,17.69,96,93,18.12,1605978569
203,mataura,NZ,-46.19,168.86,48.0,79,99,8.99,1605978570
204,airai,TL,-8.93,125.41,61.2,99,18,1.74,1605978660
205,darab,IR,28.75,54.54,62.98,42,0,3.42,1605979165
206,kapaa,US,22.08,-159.32,76.24,88,90,20.8,1605978574
207,luganville,VU,-15.53,167.17,76.93,88,100,9.71,1605979166
208,tiksi,RU,71.69,128.87,-4.36,90,0,8.88,1605978620
209,avera,US,33.19,-82.53,69.82,49,1,5.82,1605978599
210,rikitea,PF,-23.12,-134.97,72.97,63,3,3.76,1605978568
211,mar del plata,AR,-38.0,-57.56,71.6,68,75,16.11,1605978462
212,constitucion,CL,-35.33,-72.42,62.33,57,21,11.12,1605979166
213,belomorsk,RU,64.52,34.77,29.03,93,100,10.94,1605979166
214,luderitz,NA,-26.65,15.16,69.8,64,6,20.8,1605978598
215,malanje,AO,-9.54,16.34,69.4,91,100,1.57,1605979167
216,conde,BR,-7.26,-34.91,87.8,58,75,11.41,1605978688
217,grindavik,IS,63.84,-22.43,35.6,93,75,9.17,1605978625
218,yellowknife,CA,62.46,-114.35,-11.31,83,20,10.29,1605979141
219,geraldton,AU,-28.77,114.6,62.6,77,90,14.99,1605978577
220,talaya,RU,61.38,152.75,-11.85,87,100,1.7,1605979168
221,albany,US,42.6,-73.97,49.51,46,100,4.0,1605978890
222,portland,US,45.52,-122.68,38.32,93,90,4.7,1605978635
223,kapaa,US,22.08,-159.32,76.24,88,90,20.8,1605978574
224,luena,AO,-11.78,19.92,67.66,89,93,0.63,1605979169
225,miraflores,MX,19.22,-98.81,62.53,67,90,8.05,1605978604
226,rikitea,PF,-23.12,-134.97,72.97,63,3,3.76,1605979169
227,cockburn town,TC,21.46,-71.14,75.2,83,75,11.41,1605979037
228,rikitea,PF,-23.12,-134.97,72.97,63,3,3.76,1605979169
229,alice springs,AU,-23.7,133.88,78.8,34,4,5.82,1605978487
230,yenagoa,NG,4.92,6.26,82.06,73,96,6.58,1605979170
231,clyde river,CA,70.47,-68.59,10.4,92,90,12.75,1605978623
232,bluff,NZ,-46.6,168.33,48.0,79,97,8.99,1605978582
233,vaini,TO,-21.2,-175.2,73.4,88,75,4.7,1605978596
234,ponta do sol,PT,32.67,-17.1,68.86,77,20,5.82,1605978619
235,puerto ayora,EC,-0.74,-90.35,75.07,69,75,11.41,1605979050
236,ushuaia,AR,-54.8,-68.3,66.2,29,75,9.17,1605978954
237,rikitea,PF,-23.12,-134.97,72.97,63,3,3.76,1605979169
238,saint george,US,37.1,-113.58,54.52,37,1,2.3,1605978635
239,hobart,AU,-42.88,147.33,57.24,72,90,6.93,1605978902
240,kaitangata,NZ,-46.28,169.85,46.99,87,99,13.0,1605979165
241,omboue,GA,-1.57,9.26,77.43,89,100,7.63,1605979172
242,vaini,TO,-21.2,-175.2,73.4,88,75,4.7,1605978596
243,rikitea,PF,-23.12,-134.97,72.97,63,3,3.76,1605979169
244,kapaa,US,22.08,-159.32,76.24,88,90,20.8,1605978574
245,baykit,RU,61.67,96.37,21.67,95,95,7.18,1605979173
246,hermanus,ZA,-34.42,19.23,64.0,84,83,5.99,1605979120
247,vaini,TO,-21.2,-175.2,73.4,88,75,4.7,1605978596
248,esperance,AU,-33.87,121.9,51.8,100,40,3.36,1605978578
249,hithadhoo,MV,-0.6,73.08,82.65,76,95,9.48,1605978642
250,salalah,OM,17.02,54.09,80.6,57,0,5.82,1605979174
251,kizner,RU,56.27,51.51,19.69,95,66,7.43,1605979174
252,butaritari,KI,3.07,172.79,81.45,77,92,15.84,1605979174
253,los llanos de aridane,ES,28.66,-17.92,74.57,53,0,14.99,1605978607
254,ushuaia,AR,-54.8,-68.3,66.2,29,75,9.17,1605978954
255,avarua,CK,-21.21,-159.78,71.6,100,100,3.36,1605978589
256,hue,VN,16.47,107.6,77.0,88,40,2.24,1605979174
257,hermanus,ZA,-34.42,19.23,64.0,84,83,5.99,1605979120
258,longyearbyen,SJ,78.22,15.64,21.2,73,75,5.82,1605978619
259,north branch,US,45.51,-92.98,30.33,80,0,4.0,1605979175
260,nyagan,RU,62.14,65.39,25.97,94,73,9.78,1605979175
261,te anau,NZ,-45.42,167.72,41.77,87,83,2.06,1605979175
262,ranfurly,NZ,-45.13,170.1,39.99,82,100,3.0,1605979175
263,touba,CI,8.28,-7.68,87.55,36,0,4.23,1605979175
264,clinton,US,42.59,-82.92,42.71,56,75,10.29,1605979130
265,mataura,NZ,-46.19,168.86,48.0,79,99,5.99,1605979176
266,bluff,NZ,-46.6,168.33,48.0,79,97,8.99,1605978582
267,dillon,US,34.42,-79.37,70.27,49,1,3.36,1605979176
268,clyde river,CA,70.47,-68.59,10.4,92,90,12.75,1605978623
269,cuamba,MZ,-14.8,36.54,84.96,40,84,4.36,1605979176
270,kyzyl-suu,KG,42.34,78.01,25.38,78,6,10.31,1605979176
271,abha,SA,18.22,42.51,64.27,77,0,4.7,1605979176
272,puerto narino,CO,-3.77,-70.38,84.2,70,75,4.7,1605979176
273,usinsk,RU,65.99,57.53,27.52,98,99,10.56,1605979156
274,avarua,CK,-21.21,-159.78,71.6,100,100,3.36,1605978589
275,nizwa,OM,22.93,57.53,68.05,34,0,2.06,1605978582
276,mataura,NZ,-46.19,168.86,48.0,79,99,5.99,1605979176
277,bluff,NZ,-46.6,168.33,48.0,79,97,8.99,1605978582
278,arraial do cabo,BR,-22.97,-42.03,77.77,61,40,8.05,1605979051
279,avarua,CK,-21.21,-159.78,71.6,100,100,3.36,1605978589
280,saint-philippe,RE,-21.36,55.77,75.2,64,0,3.36,1605978594
281,atuona,PF,-9.8,-139.03,77.0,74,15,14.81,1605979166
282,thompson,CA,55.74,-97.86,10.4,85,90,5.82,1605978592
283,montrose,US,38.42,-108.27,48.67,49,99,2.95,1605978626
284,evensk,RU,61.95,159.23,7.3,92,100,7.05,1605978666
285,klaksvik,FO,62.23,-6.59,42.8,81,100,38.03,1605978593
286,anadyr,RU,64.75,177.48,32.0,97,40,24.61,1605978686
287,buala,SB,-8.14,159.59,80.26,79,81,5.37,1605978587
288,waitara,NZ,-38.92,174.25,48.99,84,45,4.0,1605979179
